design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
340_adaptive,adaptive,3,4,bit_complement,0.775,126670,0.0977336,3003.543729,61.986307,3065.530036,3.901702,0,0.247336,0.250442,0.987598
340_adaptive,adaptive,3,4,bit_complement,0.800,157339,0.121671,2926.159793,51.093708,2977.253501,4.063664,0,0.196232,0.198248,0.989831
340_adaptive,adaptive,3,4,bit_complement,0.825,138691,0.107145,3156.855613,55.872952,3212.728565,3.908134,0,0.21739,0.21984,0.988853
340_adaptive,adaptive,3,4,bit_complement,0.850,137493,0.106188,3574.815849,61.626974,3636.442823,3.931335,0,0.226681,0.229302,0.988567
340_adaptive,adaptive,3,4,bit_complement,0.875,134705,0.103989,3458.645005,57.647244,3516.292248,3.982615,0,0.211276,0.213815,0.98813
340_adaptive,adaptive,3,4,bit_complement,0.900,121259,0.0935156,3130.861637,63.686591,3194.548229,3.970685,0,0.246959,0.250175,0.987143
340_adaptive,adaptive,3,4,bit_complement,0.925,133442,0.103041,3219.558844,62.742759,3282.301603,3.938662,0,0.214003,0.216518,0.988384
340_adaptive,adaptive,3,4,bit_complement,0.950,143676,0.111005,3287.580665,64.230479,3351.811144,3.914686,0,0.199303,0.201531,0.98894
340_adaptive,adaptive,3,4,bit_complement,0.975,126872,0.0978828,3629.658472,65.936898,3695.595371,4.042813,0,0.244987,0.24808,0.987531
340_adaptive,adaptive,3,4,bit_complement,1.000,117426,0.0904742,3165.760524,78.004153,3243.764677,4.018315,0,0.212823,0.215799,0.986213
340_adaptive,adaptive,3,4,bit_reverse,0.025,31877,0.0248805,2.000031,9.007128,11.007159,2.995730,0,0,0,0.999059
340_adaptive,adaptive,3,4,bit_reverse,0.050,64179,0.0500937,2.000515,9.049454,11.049969,3.007361,0,3.11628e-05,3.11915e-05,0.999081
340_adaptive,adaptive,3,4,bit_reverse,0.075,95843,0.0748086,2.002130,9.068602,11.070733,3.006663,0,0.000657325,0.000657929,0.999082
340_adaptive,adaptive,3,4,bit_reverse,0.100,128013,0.0999203,2.004637,9.096092,11.100729,3.008272,0,0.00171076,0.0017123,0.999102
340_adaptive,adaptive,3,4,bit_reverse,0.125,159953,0.12485,2.009455,9.137096,11.146551,3.015982,0,0.0037511,0.00375451,0.999093
